建築地點,發照日期,
善化區小新營段,"0814-0002,0814-0002",100/01/03
歸仁區歸仁北段,1109-5,100/01/03
白河區新興段,717718,100/01/03
仁德區興安段,249-6,100/01/03
仁德區興安段,249-5,100/01/03
仁德區興安段,249-4,100/01/03
仁德區興安段,249-3,100/01/03
仁德區興安段,249-2,100/01/03
仁德區興安段,249-1,100/01/03
永康區鹽新段,1134-1,100/01/05
永康區鹽新段,1134-2,100/01/05
永康區鹽新段,1134-3,100/01/05
永康區鹽新段,1134-4,100/01/05
永康區鹽新段,1134-5,100/01/05
永康區鹽新段,1134-6,100/01/05
永康區鹽新段,1134-7,100/01/05
永康區鹽新段,1134-8,100/01/05
永康區鹽新段,1134-9,100/01/05
永康區鹽新段,1134-10,100/01/05
永康區鹽新段,1134,100/01/05
永康區大灣段,4681,100/01/04
永康區大灣段,1015954,100/01/04
永康區大灣段,1015985,100/01/04
永康區大灣段,1015801,100/01/04
永康區大灣段,1016015,100/01/04
永康區大灣段,1016046,100/01/04
永康區大灣段,1016076,100/01/04
永康區大灣段,1022650,100/01/05
永康區大灣段,4699-13,100/01/05
永康區大灣段,1022589,100/01/05
永康區大灣段,1022620,100/01/05
永康區大灣段,"4699-4,4699-5",100/01/05
永康區大灣段,4699,100/01/05
永康區大灣段,1022375,100/01/05
永康區南灣段,274,100/01/03
永康區南灣段,274-2,100/01/03
永康區南灣段,274-3,100/01/03
永康區南灣段,274-4,100/01/03
永康區南灣段,274-5,100/01/03
永康區南灣段,274-6,100/01/03
永康區保生段,212213,100/01/06
安平區金城段,34-57,100/01/05
安平區金城段,34-56,100/01/05
安平區金城段,34-55,100/01/05
安平區金城段,34-54,100/01/05
安平區金城段,34-53,100/01/05
安平區金城段,34,100/01/05
安平區金城段,34-58,100/01/05
安平區金城段,34-59,100/01/05
安平區金城段,34-62,100/01/05
安平區金城段,34-61,100/01/05
安平區金城段,34-60,100/01/05
歸仁區武東段,533534,100/01/06
佳里區佳里段,895-33,100/01/06
下營區營安段,10191022,100/01/06
永康區鹽埕段,"0500-0000,0500-0013",100/01/06
永康區鹽埕段,"0500-0014,0500-0013",100/01/06
永康區鹽埕段,"0500-0015,0500-0013",100/01/06
永康區鹽埕段,"0500-0016,0500-0013",100/01/06
永康區鹽埕段,"0500-0017,0500-0013",100/01/06
永康區鹽埕段,"0500-0018,0500-0013",100/01/06
永康區鹽埕段,"0500-0019,0500-0013",100/01/06
永康區鹽埕段,"0500-0020,0500-0013",100/01/06
永康區鹽埕段,0500-0023,100/01/06
永康區鹽埕段,330-5,100/01/06
永康區鹽埕段,330-27,100/01/06
永康區鹽埕段,330-28,100/01/06
永康區鹽埕段,330-29,100/01/06
永康區鹽埕段,330-30,100/01/06
永康區鹽埕段,330-31,100/01/06
永康區鹽埕段,330-32,100/01/06
永康區鹽埕段,330-33,100/01/06
永康區鹽埕段,330-34,100/01/06
永康區鹽埕段,330-35,100/01/06
楠西區埔尾段,"747-5,747-6",100/01/06
中西區南寧段,6006-65,100/01/06
楠西區東勢段,368,100/01/07
永康區大灣段,7574,100/01/10
永康區大灣段,2072419,100/01/10
永康區大灣段,2072447,100/01/10
永康區大灣段,2072478,100/01/10
永康區大灣段,2072508,100/01/10
下營區營南段,1183,100/01/11
永康區大灣段,7094,100/01/10
永康區大灣段,7094-0003,100/01/10
新營區三德段,954955,100/01/10
善化區善進段,"67-6,67-26,67-27,67-28,67-29,67-30,67-31,67-32,67-33",100/01/12
善化區善進段,"67-13,67-18,67-19,67-20,67-21,67-22,67-23,67-24,67-25",100/01/12
善化區善進段,67-38,100/01/12
善化區善進段,67-36,100/01/12
善化區善進段,67-35,100/01/12
善化區善進段,67,100/01/12
善化區善進段,24473,100/01/12
善化區善進段,24504,100/01/12
善化區善進段,24532,100/01/12
善化區善進段,24563,100/01/12
善化區善進段,24593,100/01/12
善化區善進段,24654,100/01/12
善化區善進段,24685,100/01/12
善化區善進段,24716,100/01/12
善化區善進段,24746,100/01/12
善化區善進段,24777,100/01/12
善化區善進段,24807,100/01/12
善化區善進段,67-14,100/01/12
善化區善進段,67-15,100/01/12
善化區善進段,67-16,100/01/12
善化區善進段,67-17,100/01/12
北區小北段,998-452,100/01/07
北區小北段,998-451,100/01/07
北區小北段,998-450,100/01/07
北區小北段,998-449,100/01/07
北區小北段,998-448,100/01/07
北區小北段,998-80,100/01/07
仁德區大宅段,418,100/01/13
安平區金華段,148-3,100/01/07
永康區永二段,421-3,100/01/13
永康區永二段,421-2,100/01/13
永康區永二段,421-1,100/01/13
永康區永二段,421,100/01/13
中西區頂美段,283,100/01/10
新營區新營段,1294-9,100/01/14
麻豆區保安段,43,100/01/14
安南區草湖段,"726-1,726-2",100/01/14
安南區草湖段,"726-3,726-4",100/01/14
安南區草湖段,"726,726-5,726-6,726-7,726-8,726-9,726-10,726-11,726-12",100/01/14
安南區草湖段,"726-13,726-14,726-15,726-16,726-17,726-18,726-19,726-20",100/01/14
安南區草湖段,"706-2,706-3",100/01/14
安南區草湖段,"706-4,706-5",100/01/14
安南區草湖段,"706-6,706-7",100/01/14
安南區草湖段,"706-8,706-9",100/01/14
安南區草湖段,"706-10,706-11",100/01/14
安南區草湖段,"706,706-12,706-13,706-14,706-15,706-16,706-17,706-18,706-19",100/01/14
安南區草湖段,"706-1,706-20,706-21,706-22,706-23,706-24,706-25",100/01/14
安平區新南段,90,100/01/14
永康區鹽埕段,330-25,100/01/17
永康區鹽埕段,330-24,100/01/17
永康區鹽埕段,330-23,100/01/17
永康區鹽埕段,330-22,100/01/17
永康區鹽埕段,330-21,100/01/17
永康區鹽埕段,330-20,100/01/17
永康區鹽埕段,330-19,100/01/17
永康區鹽埕段,330-18,100/01/17
永康區鹽埕段,330-17,100/01/17
永康區鹽埕段,"330-16,330-3",100/01/17
永康區鹽埕段,330,100/01/17
永康區鹽埕段,330-4,100/01/17
永康區鹽埕段,330-7,100/01/17
永康區鹽埕段,330-8,100/01/17
永康區鹽埕段,330-9,100/01/17
永康區鹽埕段,330-10,100/01/17
永康區鹽埕段,330-11,100/01/17
永康區鹽埕段,330-12,100/01/17
永康區鹽埕段,330-13,100/01/17
永康區鹽埕段,"330-14,330-15",100/01/17
六甲區六甲段,1456-0002,100/01/14
六甲區六甲段,1456-0023,100/01/14
六甲區六甲段,1456-0024,100/01/14
北區文元段,1039-2,100/01/17
北區文元段,1039-7,100/01/17
北區文元段,1039-8,100/01/17
北區文元段,1039-9,100/01/17
北區文元段,1039-10,100/01/17
北區文元段,1039-11,100/01/17
北區文元段,1039-12,100/01/17
北區文元段,1039-13,100/01/17
北區文元段,1039-14,100/01/17
北區文元段,1039-15,100/01/17
麻豆區油車段,565,100/01/17
北區文元段,"1039-16,1039-17,1039-18,1039-19,1039-20,1039-21,1039-22,1039-23,1039-24",100/01/17
北區北元段,1035-13,100/01/17
六甲區六甲段,1456-0025,100/01/17
六甲區六甲段,1456-0026,100/01/17
六甲區六甲段,1456-0027,100/01/17
六甲區六甲段,1456-0028,100/01/17
安南區新淵段,44953,100/01/17
安南區新淵段,27,100/01/17
安平區金城段,19633,100/01/17
東區竹篙厝段,695117,100/01/18
永康區自強段,"540-21,540-23",100/01/20
永康區自強段,540-6,100/01/20
永康區自強段,540-5,100/01/20
永康區自強段,540-4,100/01/20
永康區自強段,540-3,100/01/20
永康區自強段,540-2,100/01/20
永康區自強段,540-1,100/01/20
永康區自強段,540-20,100/01/20
永康區自強段,540-25,100/01/20
永康區自強段,540-24,100/01/20
永康區自強段,540-17,100/01/20
永康區自強段,540-16,100/01/20
永康區自強段,540-15,100/01/20
永康區自強段,540-14,100/01/20
永康區自強段,540-13,100/01/20
善化區北子店段,356-110,100/01/20
善化區北子店段,356-109,100/01/20
善化區北子店段,356-108,100/01/20
善化區北子店段,356-107,100/01/20
善化區北子店段,"356-106,356-157",100/01/20
善化區北子店段,356-118,100/01/20
善化區北子店段,356-117,100/01/20
善化區北子店段,356-116,100/01/20
善化區北子店段,356-115,100/01/20
善化區北子店段,356-114,100/01/20
善化區北子店段,356-113,100/01/20
善化區北子店段,356-112,100/01/20
善化區北子店段,356-111,100/01/20
善化區北子店段,356-141,100/01/20
善化區北子店段,356-140,100/01/20
善化區北子店段,356-139,100/01/20
善化區北子店段,356-138,100/01/20
善化區北子店段,356-137,100/01/20
善化區北子店段,356-136,100/01/20
善化區北子店段,356-135,100/01/20
善化區北子店段,356-134,100/01/20
善化區北子店段,356-120,100/01/20
善化區北子店段,356-121,100/01/20
善化區北子店段,356-122,100/01/20
善化區北子店段,356-123,100/01/20
善化區北子店段,356-124,100/01/20
善化區北子店段,356-125,100/01/20
善化區北子店段,356-126,100/01/20
善化區北子店段,356-127,100/01/20
善化區北子店段,356-128,100/01/20
善化區北子店段,356-129,100/01/20
善化區北子店段,356-130,100/01/20
善化區北子店段,356-131,100/01/20
善化區北子店段,356-132,100/01/20
善化區北子店段,356-142,100/01/20
善化區北子店段,356-143,100/01/20
善化區北子店段,356-144,100/01/20
善化區北子店段,356-145,100/01/20
善化區北子店段,356-146,100/01/20
善化區北子店段,356-147,100/01/20
善化區北子店段,356-148,100/01/20
善化區北子店段,356-149,100/01/20
善化區北子店段,356-150,100/01/20
善化區北子店段,356-151,100/01/20
善化區北子店段,356-152,100/01/20
善化區北子店段,356-153,100/01/20
善化區北子店段,356-154,100/01/20
善化區北子店段,356-155,100/01/20
善化區北子店段,356-156,100/01/20
永康區大灣段,"8673,8673-4,8673-5,8673-6",100/01/20
永康區大灣段,1817480,100/01/20
麻豆區龍泉段,245-4,100/01/21
麻豆區龍泉段,245-5,100/01/21
麻豆區龍泉段,245-6,100/01/21
麻豆區龍泉段,245-7,100/01/21
麻豆區龍泉段,245-8,100/01/21
麻豆區龍泉段,245-3,100/01/21
麻豆區龍泉段,245,100/01/21
永康區大灣段,"3908,3908-21",100/01/21
麻豆區巷口段,560561,100/01/21
善化區善新段,"117,117-1,117-2,117-3,117-4,117-5,117-6,117-7,117-8,117-9,117-10,117-11,117-12,117-13,117-14,117-15,117-16,117-17,117-18,117-19,117-20",100/01/21
北區大豐段,"88,89",100/01/20
東區竹篙厝段,96092,100/01/20
安南區安慶段,257,100/01/20
北區北元段,621-10,100/01/21
永康區大灣段,4846-22,100/01/25
永康區大灣段,4846-21,100/01/25
永康區大灣段,4846-20,100/01/25
永康區大灣段,4846-19,100/01/25
永康區大灣段,4846-18,100/01/25
永康區大灣段,4846-17,100/01/25
永康區大灣段,4846-16,100/01/25
永康區大灣段,4846-15,100/01/25
永康區大灣段,4846-14,100/01/25
永康區大灣段,4846-13,100/01/25
永康區大灣段,1076341,100/01/25
永康區大灣段,1076311,100/01/25
永康區大灣段,1076038,100/01/25
永康區大灣段,1076219,100/01/25
永康區大灣段,1076250,100/01/25
永康區大灣段,1076280,100/01/25
永康區大灣段,1076615,100/01/25
永康區大灣段,1076584,100/01/25
永康區大灣段,4847,100/01/25
新營區新東段,79,100/01/25
新營區新東段,28856,100/01/25
新營區新東段,28887,100/01/25
新營區新東段,28915,100/01/25
新營區新東段,28946,100/01/25
新營區新東段,28976,100/01/25
新營區新東段,29068,100/01/25
新營區新東段,29099,100/01/25
安平區金城段,55-38,100/01/26
北區大港段,21-225,100/01/26
安平區新南段,84-79,100/01/26
安平區新南段,84-80,100/01/26
安平區新南段,84-81,100/01/26
安平區新南段,84-82,100/01/26
安平區新南段,84-83,100/01/26
安平區新南段,84-84,100/01/26
安平區新南段,84-85,100/01/26
安平區新南段,84-86,100/01/26
安平區新南段,84-87,100/01/26
安平區新南段,84-88,100/01/26
安平區新南段,84-89,100/01/26
北區大港段,"21-12,21-216,21-221,21-222",100/01/26
北區大港段,"21-217,21-218,21-223,21-224",100/01/26
北區大港段,"21-219,21-220",100/01/26
佳里區廣安段,59,100/01/27
永康區埔北段,"0311-0010,0326-0000",100/01/27
永康區埔北段,"0311-0009,0326-0001",100/01/27
永康區埔北段,169,100/01/27
永康區埔北段,169-1,100/01/27
永康區埔北段,169-2,100/01/27
永康區埔北段,169-3,100/01/27
新營區新東段,0389-0003,100/01/27
新營區新東段,0389-0002,100/01/27
新營區新東段,0389-0001,100/01/27
新營區新東段,389,100/01/27
永康區埔園段,0677-0012,100/01/27
永康區埔園段,"0677-0000,0677-0001,0677-0002,0677-0003,0677-0004,0677-0005,0677-0006,0677-0007,0677-0008,0677-0009,0677-0010,0677-0011",100/01/27
永康區橋北段,125-79,100/01/27
永康區橋北段,125-78,100/01/27
永康區橋北段,125-77,100/01/27
永康區橋北段,125-76,100/01/27
永康區橋北段,125-75,100/01/27
永康區橋北段,125-74,100/01/27
永康區橋北段,125-73,100/01/27
永康區橋北段,125-72,100/01/27
永康區橋北段,125-71,100/01/27
永康區橋北段,125-70,100/01/27
永康區橋北段,125-69,100/01/27
永康區橋北段,125-68,100/01/27
永康區橋北段,125-67,100/01/27
永康區橋北段,125-66,100/01/27
永康區橋北段,125-65,100/01/27
永康區橋北段,125-64,100/01/27
永康區橋北段,125-63,100/01/27
永康區橋北段,125-62,100/01/27
永康區橋北段,125-61,100/01/27
永康區橋北段,125-60,100/01/27
永康區橋北段,125-59,100/01/27
永康區橋北段,125-58,100/01/27
永康區橋北段,125-57,100/01/27
永康區橋北段,125-56,100/01/27
永康區橋北段,125-55,100/01/27
永康區橋北段,125-54,100/01/27
永康區橋北段,125-53,100/01/27
永康區橋北段,125-52,100/01/27
永康區橋北段,125-51,100/01/27
永康區橋北段,125-50,100/01/27
永康區橋北段,125-49,100/01/27
永康區橋北段,125-48,100/01/27
永康區橋北段,125-47,100/01/27
永康區橋北段,125-46,100/01/27
永康區橋北段,125-45,100/01/27
永康區橋北段,125-44,100/01/27
永康區橋北段,125-43,100/01/27
永康區橋北段,125-42,100/01/27
安平區金城段,44948,100/01/27
北區仁愛段,463-1,100/01/27
永康區埔北段,0311-0000,100/01/27
永康區埔北段,0311-0000,100/01/27
中西區武聖段,21082109,100/01/28
安平區新南段,36069,100/01/28
東區裕東段,1229-0002,100/01/28
永康區信義段,0341-0000,100/01/31
北區北元段,"475-4,475-5",100/01/31
中西區臨安段,940,100/01/31
中西區臨安段,940-2,100/01/31
中西區臨安段,940-3,100/01/31
中西區臨安段,940-4,100/01/31
中西區臨安段,940-8,100/01/31
中西區臨安段,940-7,100/01/31
中西區臨安段,940-6,100/01/31
中西區臨安段,940-5,100/01/31
安南區外塭段,483,100/01/31
安南區外塭段,483-51,100/01/31
安南區外塭段,483-52,100/01/31
安南區外塭段,483-53,100/01/31
安南區外塭段,483-54,100/01/31
南區福吉段,404-12,100/01/31
仁德區上崙段,410,100/02/01
仁德區上崙段,410-10,100/02/01
仁德區上崙段,410-11,100/02/01
仁德區上崙段,410-12,100/02/01
仁德區上崙段,"410-14,410-15",100/02/01
仁德區上崙段,"410-16,410-17",100/02/01
仁德區上崙段,"410-19,410-20,410-21,410-22",100/02/01
仁德區上崙段,"410-23,410-24,410-25,410-26",100/02/01
仁德區上崙段,410-27,100/02/01
仁德區上崙段,410-28,100/02/01
東區德高段,1219,100/02/01
東區竹篙厝段,497494,100/02/08
官田區番子田段,400-52,100/02/09
北區北元段,247272,100/02/09
歸仁區歸仁北段,476-23,100/02/10
歸仁區歸仁北段,476-5,100/02/10
歸仁區歸仁北段,477,100/02/10
歸仁區歸仁北段,477-3,100/02/10
歸仁區歸仁北段,477-4,100/02/10
歸仁區歸仁北段,477-5,100/02/10
歸仁區歸仁北段,477-6,100/02/10
歸仁區歸仁北段,477-7,100/02/10
歸仁區歸仁北段,477-8,100/02/10
歸仁區歸仁北段,477-9,100/02/10
歸仁區歸仁北段,477-10,100/02/10
歸仁區歸仁北段,477-11,100/02/10
歸仁區歸仁北段,477-16,100/02/10
歸仁區歸仁北段,477-18,100/02/10
歸仁區歸仁北段,477-19,100/02/10
歸仁區歸仁北段,477-17,100/02/10
歸仁區歸仁北段,477-2,100/02/10
北區光賢段,295-1,100/02/10
永康區蜈蜞潭段,"2090-31,645-13",100/02/10
永康區蜈蜞潭段,"2090-52,645-18",100/02/10
永康區蜈蜞潭段,"2090-53,645-19",100/02/10
永康區蜈蜞潭段,"2090-54,645-20",100/02/10
永康區蜈蜞潭段,"2090-55,645-21",100/02/10
永康區蜈蜞潭段,"2090-56,645-22",100/02/10
永康區蜈蜞潭段,"2090-57,645-23",100/02/10
永康區蜈蜞潭段,"2090-58,645-24",100/02/10
永康區蜈蜞潭段,"2090-59,645-25",100/02/10
永康區蜈蜞潭段,"2090-60,645-26",100/02/10
官田區烏山頭段,92-39,100/02/14
東區竹篙厝段,399637,100/02/11
東區虎尾寮段,625-38,100/02/14
東區虎尾寮段,625-4,100/02/14
北區小北段,"0998-0065,0998-0066,0998-0067",100/02/16
新營區三德段,1259-0005,100/02/17
新營區三德段,1259-0006,100/02/17
安平區金華段,30-31,100/02/17
新營區三德段,1259,100/02/17
新營區三德段,1259-0002,100/02/17
新營區三德段,1259-0003,100/02/17
新營區三德段,1259-0004,100/02/17
西港區南海段,"1025-2,1039",100/02/18
中西區武聖段,232478,100/02/21
新市區新店段,"241-15,241-16,241-17,241-18",100/02/21
南區鹽埕段,309421,100/02/21
北區小北段,1493,100/02/22
北區北元段,0341-0000,100/02/22
東區裕東段,1016,100/02/22
永康區鹽中段,716-3,100/02/22
永康區鹽中段,716-2,100/02/22
永康區兵南段,606,100/02/22
安南區新淵段,255-3,100/02/23
安南區新淵段,255-2,100/02/23
安南區新淵段,255-1,100/02/23
安南區新淵段,255,100/02/23
白河區中興段,"1556-0002,1557-0001",100/02/25
東區竹篙厝段,2796-0003,100/02/24
東區竹篙厝段,2796-0002,100/02/24
東區竹篙厝段,2796-0000,100/02/24
安平區上鯤鯓段,526,100/02/25
安平區上鯤鯓段,526-1,100/02/25
新化區新豐段,550-26,100/03/01
新化區新豐段,550-27,100/03/01
新化區新豐段,550-28,100/03/01
新化區新豐段,550-29,100/03/01
新化區新豐段,550-30,100/03/01
新化區新豐段,550-31,100/03/01
新化區新豐段,550-32,100/03/01
新化區新豐段,550-33,100/03/01
新化區新豐段,550-34,100/03/01
永康區永二段,227,100/03/01
新化區新豐段,"550-3,550-23",100/03/03
新化區新豐段,"550-4,550-23",100/03/03
新化區新豐段,"550-5,550-23",100/03/03
新化區新豐段,"550-6,550-23",100/03/03
新化區新豐段,"550-7,550-23",100/03/03
新化區新豐段,"550-8,550-23",100/03/03
新化區新豐段,"550-9,550-23",100/03/03
新化區新豐段,"550-10,550-23",100/03/03
新化區新豐段,550-11,100/03/03
新化區新豐段,"550-12,550-23",100/03/03
新化區新豐段,"550-13,550-23",100/03/03
新化區新豐段,"550-14,550-23",100/03/03
新化區新豐段,"550-15,550-23",100/03/03
新化區新豐段,"550-16,550-23",100/03/03
新化區新豐段,"550-17,550-23",100/03/03
新化區新豐段,"550-18,550-23",100/03/03
新化區新豐段,"550-19,550-23",100/03/03
新化區新豐段,"550-20,550-23",100/03/03
新化區新豐段,"550-2,550-23",100/03/03
新化區新豐段,"550-22,550-23",100/03/03
安南區新淵段,"378-1,378-14,378-15,378-16,378-17,378-18,378-19,378-20,378-21,378-22,378-23",100/03/02
南區正義段,551,100/03/03
六甲區七甲段,315-3,100/03/04
東區竹篙厝段,497463,100/03/04
東區竹篙厝段,497463,100/03/04
歸仁區文化段,1037,100/03/04
歸仁區文化段,1037-2,100/03/04
歸仁區文化段,1037-3,100/03/04
歸仁區文化段,1037-4,100/03/04
歸仁區文化段,1037-5,100/03/04
歸仁區文化段,1037-6,100/03/04
歸仁區文化段,1037-7,100/03/04
歸仁區文化段,1037-8,100/03/04
永康區兵北段,534,100/03/04
歸仁區歸仁北段,1283-24,100/03/04
歸仁區歸仁北段,1283-1,100/03/04
歸仁區歸仁北段,1283-26,100/03/04
歸仁區歸仁北段,1283-27,100/03/04
歸仁區歸仁北段,1283-28,100/03/04
歸仁區歸仁北段,1283-29,100/03/04
歸仁區歸仁北段,1283-25,100/03/04
永康區永康段,1176-26,100/03/07
永康區永康段,1176-0025,100/03/07
永康區永康段,1176-0024,100/03/07
永康區永康段,1176-0023,100/03/07
永康區永康段,1176-0022,100/03/07
永康區永康段,1176-0021,100/03/07
永康區永康段,1176-0027,100/03/07
永康區永康段,1176-0028,100/03/07
永康區永康段,1176-0002,100/03/07
永康區永康段,1176-0016,100/03/07
永康區永康段,1176-0017,100/03/07
永康區永康段,1176-0018,100/03/07
永康區永康段,1176-0019,100/03/07
永康區永康段,1176-0020,100/03/07
永康區永康段,1176-0013,100/03/07
永康區永康段,1176-0012,100/03/07
永康區永康段,1176-0011,100/03/07
永康區永康段,1176-0010,100/03/07
永康區永康段,1176-0009,100/03/07
永康區永康段,1176-0008,100/03/07
永康區永康段,1176-0014,100/03/07
永康區永康段,1176-0015,100/03/07
永康區永康段,1176-0001,100/03/07
永康區永康段,1176-0003,100/03/07
永康區永康段,1176-0004,100/03/07
永康區永康段,1176-0005,100/03/07
永康區永康段,1176-0006,100/03/07
永康區永康段,1176-0007,100/03/07
安平區金華段,41-36,100/03/07
永康區蜈蜞潭段,2067-36,100/03/07
永康區蜈蜞潭段,2067-35,100/03/07
永康區蜈蜞潭段,2067-38,100/03/07
永康區蜈蜞潭段,2067-37,100/03/07
永康區蜈蜞潭段,2067-32,100/03/07
永康區蜈蜞潭段,2067-26,100/03/07
永康區六甲頂段,"784-16,784-18",100/03/07
永康區六甲頂段,"784-15,784-19",100/03/07
永康區六甲頂段,"784-12,784-20",100/03/07
永康區六甲頂段,"784-11,784-21",100/03/07
永康區六甲頂段,"784-8,784-22",100/03/07
永康區六甲頂段,"784-7,784-23",100/03/07
永康區六甲頂段,"784,784-17",100/03/07
永康區六甲頂段,"784-1,784-14",100/03/07
永康區六甲頂段,"784-2,784-13",100/03/07
永康區六甲頂段,"784-3,784-10",100/03/07
永康區六甲頂段,"784-4,784-9",100/03/07
永康區六甲頂段,"784-5,784-6",100/03/07
永康區永康段,1155-4,100/03/07
永康區永康段,1155-14,100/03/07
永康區永康段,1155-15,100/03/07
永康區永康段,1155-16,100/03/07
東區竹篙厝段,3969,100/03/07
歸仁區中山段,605-1,100/03/08
北區北元段,968,100/03/08
安南區怡安段,0717-0000,100/03/08
安南區怡安段,0717-0000,100/03/08
安南區怡安段,0717-0000,100/03/08
安南區怡安段,0717-0000,100/03/08
安南區怡安段,0717-0000,100/03/08
安南區怡安段,0717-0000,100/03/08
安南區怡安段,0717-0000,100/03/08
安南區怡安段,0717-0000,100/03/08
安南區怡安段,0717-0000,100/03/08
安南區怡安段,0717-0000,100/03/08
安平區上鯤鯓段,495,100/03/09
北區東興段,"1-1,1-17,1-19,971,971-1,972",100/03/10
麻豆區興國段,741-5,100/03/10
麻豆區興國段,741-1,100/03/10
麻豆區興國段,741-2,100/03/10
麻豆區興國段,741-3,100/03/10
麻豆區興國段,741-4,100/03/10
安南區安西段,1975-0002,100/03/10
安平區新南段,14642,100/03/14
安平區新南段,14642,100/03/14
安平區新南段,14642,100/03/14
安平區新南段,14642,100/03/14
安平區新南段,14642,100/03/14
安平區新南段,14642,100/03/14
下營區營平段,494-2,100/03/14
新營區復興段,"0082-0000,0083-0000,0084-0000,0085-0000,0086-0000,0087-0000",100/03/14
北區北元段,"619,619-7,619-8,619-9,619-10,619-11,619-12,619-13,619-14,619-15,619-16,619-17,619-18,619-19,619-20,619-21,619-22,619-23,619-24,619-25",100/03/15
永康區永二段,0097-0011,100/03/16
永康區永二段,0087-0003,100/03/16
永康區永二段,0087-0004,100/03/16
永康區永二段,0087-0005,100/03/16
永康區永二段,0087-0006,100/03/16
永康區永二段,0087-0007,100/03/16
永康區永二段,0087-0008,100/03/16
永康區永二段,0087-0009,100/03/16
永康區永二段,0097-0008,100/03/16
永康區永二段,0097-0007,100/03/16
永康區永二段,0097-0006,100/03/16
永康區永二段,0097-0005,100/03/16
永康區永二段,0087-0002,100/03/16
永康區永二段,0087-0001,100/03/16
永康區永二段,0087-0000,100/03/16
永康區永二段,0097-0004,100/03/16
永康區永二段,0097-0003,100/03/16
永康區永二段,0097-0002,100/03/16
永康區永二段,0097-0001,100/03/16
仁德區崙尾段,0296-0002,100/03/16
六甲區民權段,1124,100/03/16
佳里區育善段,581-6,100/03/17
佳里區育善段,581-7,100/03/17
佳里區育善段,581-8,100/03/17
佳里區育善段,581-9,100/03/17
佳里區育善段,581-10,100/03/17
佳里區育善段,581-11,100/03/17
佳里區育善段,581-12,100/03/17
佳里區育善段,581-13,100/03/17
佳里區育善段,581-14,100/03/17
佳里區育善段,581-15,100/03/17
新營區新營段,"599-13,599-12",100/03/17
新營區新營段,"599-14,599-12",100/03/17
新營區新營段,"599-10,599-12",100/03/17
新營區新營段,"599-9,599-12",100/03/17
新營區新營段,599-18,100/03/17
新營區新營段,599-17,100/03/17
新營區新營段,599-16,100/03/17
新營區新營段,"599-15,599-12",100/03/17
新營區新營段,599-6,100/03/17
新營區新營段,599-5,100/03/17
新營區新營段,599,100/03/17
學甲區東陽段,1186,100/03/18
安平區金華段,145-1,100/03/18
安平區金華段,145-1,100/03/18
善化區善文段,1206-4,100/03/18
善化區善文段,1206-3,100/03/18
善化區善文段,1206-2,100/03/18
善化區善文段,1206-1,100/03/18
善化區善文段,1206,100/03/18
善化區善中段,923-8,100/03/21
善化區善中段,923-7,100/03/21
善化區善中段,923-6,100/03/21
善化區善中段,923-5,100/03/21
善化區善中段,923-4,100/03/21
善化區善中段,923-1,100/03/21
善化區善中段,923-9,100/03/21
善化區善中段,923-10,100/03/21
新營區新營段,838-14,100/03/22
南區新都段,0149-0000,100/03/22
南區新都段,0149-0001,100/03/22
南區新都段,0149-0002,100/03/22
南區新都段,0149-0003,100/03/22
南區新都段,0149-0004,100/03/22
南區新都段,0149-0005,100/03/22
南區新都段,0149-0006,100/03/22
南區新都段,0149-0007,100/03/22
南區新都段,0149-0008,100/03/22
南區新都段,0149-0009,100/03/22
南區新都段,0149-0010,100/03/22
南區新都段,0149-0011,100/03/22
南區新都段,0149-0012,100/03/22
南區新都段,0149-0013,100/03/22
,,100/03/22
北區北元段,128,100/03/24
北區北元段,128-1,100/03/24
東區裕東段,1111,100/03/24
北區裕民段,708-40,100/03/24
北區裕民段,708-39,100/03/24
北區裕民段,708-38,100/03/24
北區裕民段,708-37,100/03/24
北區裕民段,708-36,100/03/24
北區裕民段,708-35,100/03/24
北區裕民段,708-34,100/03/24
北區裕民段,708-33,100/03/24
北區裕民段,708-32,100/03/24
北區裕民段,708-31,100/03/24
北區裕民段,708-30,100/03/24
北區裕民段,708-29,100/03/24
北區裕民段,708-28,100/03/24
北區裕民段,708-27,100/03/24
北區裕民段,708-26,100/03/24
北區裕民段,708-25,100/03/24
北區裕民段,708-24,100/03/24
北區裕民段,708-41,100/03/24
北區裕民段,708-23,100/03/24
北區裕民段,708-22,100/03/24
北區裕民段,708-21,100/03/24
北區裕民段,708-20,100/03/24
北區裕民段,708-19,100/03/24
北區裕民段,708-15,100/03/24
北區裕民段,"708,708-42,708-43,708-44,708-45,708-46,708-47,708-48,708-49,708-50,708-51,708-52,708-53,708-54,708-55,708-56,708-57,708-58,708-59,708-1,708-2,708-3,708-4,708-5,708-6,708-7,708-8,708-9,708-10,708-11,708-12,708-13,708-14,708-18,708-17,708-16",100/03/24
仁德區大甲段,38-40,100/03/24
歸仁區歸仁北段,0450-0000,100/03/24
北區北元段,590591,100/03/24
永康區成功段,709,100/03/24
南區新興段,"0212-0017,0212-0018",100/03/24
南區,1321,100/03/25
仁德區二空段,800,100/03/25
仁德區二空段,817,100/03/25
永康區大灣段,29799,100/03/28
安南區新順段,1059-6,100/03/28
安南區新順段,1059-7,100/03/28
安南區新順段,1059-8,100/03/28
安南區新順段,1059-9,100/03/28
安南區新順段,1059-10,100/03/28
